,titles,replies,views,activity,category
154,Free Comic Creator-focused workshops announced for LICAF LIVE,93,131,Nov '19,events and challenges
155,My Birthday! :D,1.5k,349,Nov '19,events and challenges
156,Dragon Fan Art Contest (The Dragon Prince’s Bride),72,253,Nov '19,events and challenges
157,Boosting BLACK novelists/authors! Share your novels!,2.0k,640,Nov '19,events and challenges
158,Content and Community Guidelines Update,0,1.1k,Nov '19,events and challenges
159,TV deal for Yes My Boss,390,446,Nov '19,events and challenges
160,Creator Tutorials - How to create a Cover for Novelists and Artists,83,207,Nov '19,events and challenges
161,[Tapas Insider] Sera Swati + Free Artist Resources,2.5k,248,Oct '19,events and challenges
162,Community Picks - Round II,55,2.3k,Oct '19,events and challenges
163,Tapas Media Jobs!,758,1.2k,Oct '19,events and challenges
164,Website updates and collecting feedback,0,11.2k,Oct '19,events and challenges
165,"San Diego Comic Con 2020 is still happening, but at home",119,604,Oct '19,events and challenges
166,"It’s 2 am and I need motivation for tomorrow, so, I’ll draw your character (5 of 3) (CLOSED)",12,597,Oct '19,events and challenges
167,TAPAS Anime Expo Panel: Developing Anime & Manga in the West,205,234,Oct '19,events and challenges
168,The best joke on Tapas,6,226,Oct '19,events and challenges
169,Announcement - Multi Genre Selection,244,2.5k,Oct '19,events and challenges
170,Did I just blow up tapas?,102,408,Oct '19,events and challenges
171,Chance for a feature - #TAPASFANART,2.3k,592,Jun '19,events and challenges
172,Pride Month Celebrations!,2,1.2k,Jun '19,events and challenges
173,Ringo Awards 2020 - Support your favorite creators!,176,3.2k,May '19,events and challenges
174,Post your Pride Month Content. Strips/Illustrations/Stuff,30,1.6k,May '19,events and challenges
175,Calling for Your Community Picks Feature!,348,1.4k,May '19,events and challenges
176,[Announcement] From novels to audiobooks! Tapas partners with Podium,7,438,May '19,events and challenges
177,Voting for the coolest medical worker (50.000 Tapas Ink main prize),324,412,May '19,events and challenges
178,The 3rd Tamashi Anniversary Art Contest,27,395,May '19,events and challenges
179,(ON HOLD DUE TO ACCOUNT PROBLEM) Ink Giveaway to Celebrate Mating Season Novel!,2.3k,619,May '19,events and challenges
180,Anyone want to do online comic jams?,19,1.1k,May '19,events and challenges
181,100th Tezuka Manga Award Contest || International,356,213,May '19,events and challenges
182,"Contest: draw the coolest medical worker, who’s fighting corona, and win 50.000 Ink!",0,730,May '19,events and challenges
183,Moderator in trainee. Please welcome the new member of Tapas backend,144,943,May '19,events and challenges
184,[Tapas Resources] Tapas Style Guide 2020,0,811,May '19,events and challenges
185,Today streaming Twitch on my channel,214,234,May '19,events and challenges
186,Burning Shadows Fan Contest,0,331,May '19,events and challenges
187,For Tapas Team - Comic Siggestion,134,340,May '19,events and challenges
188,Write Hive 2020 writers DIGITAL conference,1,309,May '19,events and challenges
189,Voting for the craziest bootleg character [50.000 Tapas Ink main prize],150,836,May '19,events and challenges
190,We apologize for the Spam,5,1.9k,May '19,events and challenges
191,Win 10.000 ink and more! (as Support ink),172,365,Apr '19,events and challenges
192,JETX 40 sub Q&A,16,189,Apr '19,events and challenges
193,Contest: draw the craziest bootleg character and win 50.000 Ink! [CLOSED],160,1.2k,Apr '19,events and challenges
194,Moving & going to college,51,686,Apr '19,events and challenges
195,Supporting each other through TopWebcomics votes,559,420,Mar '19,events and challenges
196,March of Robots 2020!,64,1.6k,Feb '19,events and challenges
197,Streaming! Come if you want :D,549,224,Jan '19,events and challenges
198,Fading Flare Q&A,0,190,Jan '19,events and challenges
199,I lost everything to an apartment fire,134,539,Dec '18,events and challenges
200,(Closed) constest,26,406,Dec '18,events and challenges
201,Voting for the THE LEAST cute chibi (50.000 Tapas Ink main prize),496,908,Dec '18,events and challenges
202,Looking for Toronto-based Female Comic Artists & Writers,2,291,Nov '18,events and challenges
203,Contest: draw THE LEAST cute chibi and win 50.000 Tapas Ink,160,1.3k,Nov '18,events and challenges
204,VOTING: Tapas Indie Comics Veterans Competition (250.000 Ink main prize),6,1.5k,Nov '18,events and challenges
205,Any good Happy Valentines Day gags or heart warming?,117,293,Nov '18,events and challenges
206,"The awesome Red voting for 10,000 ink + BONUS",21,623,Nov '18,events and challenges
207,Omg I’m so excited for remake release of Final Fantasy 7!,278,519,Nov '18,events and challenges
208,"The awesome red 10,000 ink contest",28,1.8k,Nov '18,events and challenges
209,Tapas Indie Comics Veterans Competition (250.000 Ink main prize),282,1.8k,Nov '18,events and challenges
210,Question about getting money,43,384,Oct '18,events and challenges
211,Magical Adventures of Kirke Ketterley Contest!,1.4k,199,Oct '18,events and challenges
212,Webtoon contest (Clipstudio paint prize),39,471,Oct '18,events and challenges
213,2019 Tapas Secret Santa Signups!,385,3.4k,Sep '18,events and challenges
214,Advent calendar of Catmen worldbuilding (Prize: 1. 5$ - 2. 10000ink - 3. 7000ink - 4. 4000ink),51,946,Aug '18,events and challenges
215,Anybody here in New York City? Let’s meet up!,433,219,Aug '18,events and challenges
216,Inksgiving Giveaway Thread,21,1.0k,Aug '18,events and challenges
217,Azure Ink Character Contest ($50 prize),192,752,Aug '18,events and challenges
218,Webcomic Artwork Contest with $5000 Prize Money! (any kind of art),7,1.7k,Aug '18,events and challenges
219,Giving out Ink for Inksgiving (complete),211,1.5k,Jul '18,events and challenges
220,Inksgiving 2019 - Giving and Receiving Master List,47,2.1k,Jul '18,events and challenges
221,Inksgiving celebration thread!,472,1.5k,Jul '18,events and challenges
222,Inksgiving! Let’s all meet our goals!,8,843,Jun '18,events and challenges
223,Last Minute Ink Giveaway! [Closed],240,444,Jun '18,events and challenges
224,Giving out Ink (Also looking for Feedback),46,448,Jun '18,events and challenges
225,Inksgiving Contest 2.0 (closed),807,511,May '18,events and challenges
226,**(CLOSE)**Support with 500ink and get the chance to win 5$ or 6000ink,28,300,May '18,events and challenges
227,Free Ink for Inksgiving (6/6) [CLOSED],312,583,May '18,events and challenges
228,Another Inksgiving Giving Thread (closed),0,748,May '18,events and challenges
229,Have you reach your first Inksgoal goal? Post your next goal here,119,301,Apr '18,events and challenges
230,(CLOSE) Win ink now! (as Support ink),27,328,Apr '18,events and challenges
231,Inksgiving 2019 Announcement!,349,6.7k,Apr '18,events and challenges
232,(CLOSE) It is time to “Like” the one that shall win 2000ink (Inksgiving event) (The winner are found),23,3.4k,Mar '18,events and challenges
233,Inkgiving event: Support us with INK or Ko-Fi $ (Invite all to post there goal with ink and ko-fi),375,1.1k,Mar '18,events and challenges
234,Are you ready to Inksgiving? Do you need help?,60,995,Mar '18,events and challenges
235,Subscribe to get the inkgivings goal down,980,239,Feb '18,events and challenges
236,Celebrating 100+ subscribers! My Hero Academia: Alternate U,66,251,Feb '18,events and challenges
237,For the sake of preservation and continuity,3.2k,345,Feb '18,events and challenges
238,Anime NYC- Anyone Going?,155,291,Feb '18,events and challenges
239,Secret Santa this Year!,2.9k,572,Feb '18,events and challenges
240,"Art Stream, join us! :D",2,203,Feb '18,events and challenges
241,I’m not allowed to get Ink on my own profile. SUCKS,130,338,Jan '18,events and challenges
242,The biggest Blue Life Inksgiving event ever,0,431,Jan '18,events and challenges
243,Special Halloween Episode!,114,322,Jan '18,events and challenges
244,"The Inksgiving reward list, 2019 (Set your Rewards up here)",0,360,Jan '18,events and challenges
245,Comic Creation Opportunity of a Lifetime: Creator Grant,100,474,Dec '17,events and challenges
246,Inksgiving Ideas,159,288,Dec '17,events and challenges
247,Inksgiving why you?,2.6k,214,Dec '17,events and challenges
248,Questions about the Tapas Creator Incubator Program,67,11.5k,Nov '17,events and challenges
249,NaNoWriMo/Writer’s Camp This Year?,1.8k,379,Nov '17,events and challenges
250,Emote Event News | Bring Emote Suggestions!,4,469,Nov '17,events and challenges
251,Emote Event #3: Halloween Special & Dogs!,209,1.3k,Nov '17,events and challenges
252,How do you guys celebrate your character’s birthday?,2,1.3k,Nov '17,events and challenges
253,Got a Tipping Comic? Share here!,188,11.9k,Nov '17,events and challenges
254,Over A Coffee Anthology - So… What’s going on?,101,923,Nov '17,events and challenges
255,June Challenge- Stretch Juneself! (Anything goes!),1.1k,5.7k,Oct '17,events and challenges
256,Hosting an Art Contest for my webmanga. Has prizes!,39,534,Oct '17,events and challenges
257,Removing pages from comics (a request),879,548,Oct '17,events and challenges
258,Flower Field Inksgiving - GIVEAWAY RESULTS,25,370,Oct '17,events and challenges
259,Share your Inksgiving experience,403,985,Oct '17,events and challenges
260,Inks giving goals (did you reach them?!),9,1.5k,Sep '17,events and challenges
261,Mer-May 2019 . lets all draw and write,270,4.1k,Sep '17,events and challenges
262,Inksgiving Contest - Enter Here! (Closed),18,931,Sep '17,events and challenges
263,Will you have ink? This is Second round of my Inksgiving,1.3k,597,Sep '17,events and challenges
264,Spring Giving - giving and receive list,4,2.3k,Sep '17,events and challenges
265,Get an ENTIRE Blue Life episode promoting you!,153,705,Sep '17,events and challenges
266,Lore unlocked soon!,12,411,Sep '17,events and challenges
267,"Soon 11mill NOW 11.300.000, can we go to 15mill (Inksgiving)",193,439,Aug '17,events and challenges
268,Flower Field Inksgiving - NEW GOAL,23,744,Aug '17,events and challenges
269,Tapas Comment Contest on IG and twitter,400,380,Aug '17,events and challenges
270,Spring Inksgiving 2019 why you?,0,1.1k,Aug '17,events and challenges
271,Inksgiving rewards for you all!,131,368,Jul '17,events and challenges
272,Inksgiving fun way,0,563,Jun '17,events and challenges
273,Otaku-sama Spring Inksgiving Giftback Event (CLOSED),141,631,Jun '17,events and challenges
274,Post your special episode for Spring Inksgiving,8,1.1k,Jun '17,events and challenges
275,Pleasure comics Spring Inkgiving Incentives! EPIC!,1.4k,403,Jun '17,events and challenges
276,Aqua03’s Spring Inksgiving art drive!,35,342,May '17,events and challenges
277,Are you creating a personal support goal for Spring Inkgiving 2019?,284,360,May '17,events and challenges
278,Over A Coffee Pitches [Kickstarter live!],14,2.0k,May '17,events and challenges
279,BLIND DATE WITH AN UNDER 500 SUB COMIC (Gifting Ink),284,483,May '17,events and challenges
280,CONTEST: Romance and dragons fanarts for Camprul,89,310,Apr '17,events and challenges
281,Art Raffle on my Insta page!,3.8k,314,Apr '17,events and challenges
282,What should I name this product ? - Contest (Ended),13,1.0k,Apr '17,events and challenges
283,Ink spill? (A giving event),1.4k,374,Apr '17,events and challenges
284,"Guess Final Ink Count, Win Prizes",39,2.8k,Apr '17,events and challenges
285,Lunar New Year Event (CLOSED),1.6k,823,Mar '17,events and challenges
286,Writers Camp 3rd Edition - Winners Announcement!,0,2.9k,Mar '17,events and challenges
287,Writers Camp x NaNoWriMo November 2018,184,6.5k,Mar '17,events and challenges
288,Instagram and Ko-Fi F4F (maybe even donations),281,3.7k,Mar '17,events and challenges
289,Tapas Tarot Card Collab 2017!?! - Perhaps After Christmas?!?!?,5.6k,4.6k,Mar '17,events and challenges
290,2018 Tapas Secret Santa RESULTS,13,1.7k,Feb '17,events and challenges
291,Share your New Years Art!,934,314,Feb '17,events and challenges
292,JJ’s Tapas NEW Secret Santa 2018,0,4.6k,Feb '17,events and challenges
293,Today is my birthday. [Event. 100 inks for everyone~ ¯\_(ツ)_/¯ ](closed),127,1.2k,Feb '17,events and challenges
294,Hey everyone I’m doing an art request hangout! (DONE - Thank you all for coming! Results in thread),27,1.3k,Feb '17,events and challenges
295,The hiatuses have officially ended!,432,429,Feb '17,events and challenges
296,Tapastic Contest - 100k coins plus review/critique for first place!,0,2.6k,Feb '17,events and challenges
297,Comic Tea Party - Event Info & Reading List Sign-up,143,3.0k,Jan '17,events and challenges
298,Inksgiving Supporters (And All Inks Supporters in General) Appreciation [unofficial],0,1.3k,Jan '17,events and challenges
299,Giving back this Inksgiving!,187,614,Jan '17,events and challenges
300,Inksgiving exchange thread! (and tips on how to get more Ink) [Unofficial],4,2.3k,Dec '16,events and challenges
301,FINAL INKSGIVING ACT! I will sketch something for you!,337,452,Dec '16,events and challenges
302,Need ink? I can’t support the people I want to DX,59,947,Dec '16,events and challenges
303,3rd Writers Camp - Post Your Entry Here,814,1.9k,Dec '16,events and challenges
304,Sneak peek at Ink…sgiving,1,1.0k,Dec '16,events and challenges
305,A raffle on DeviantArt!,201,441,Nov '16,events and challenges
306,Huevember 2018!,6,2.3k,Nov '16,events and challenges
307,Tapas Secret Santa 2018?,214,1.8k,Nov '16,events and challenges
308,Giveaway for supporters,0,15.3k,Nov '16,events and challenges
309,On a podcast today! Also: What podcasts do you like?,131,2.0k,Nov '16,events and challenges
310,JJ’s Tapas Secret Santa 2018 - Sign Up,41,805,Nov '16,events and challenges
311,The Artists-Writers Exchange Round #1,349,827,Nov '16,events and challenges
312,Coffe with a cop,5,421,Oct '16,events and challenges
313,24 Hour Comics Day - Who’s taking part?,253,1.0k,Oct '16,events and challenges
314,GoldenPlume x Tapas Comment Contest & Giveaway,26,33.4k,Oct '16,events and challenges
315,Convention organizing!,640,1.2k,Oct '16,events and challenges
316,It’s Toon June!,27,1.1k,Oct '16,events and challenges
317,Comic artwork contest with $750 of prize money,1.1k,1.3k,Sep '16,events and challenges
318,Anime Trailer Competition,2,353,Sep '16,events and challenges
319,Writers Camp Questions & Answers Thread,446,4.7k,Sep '16,events and challenges
320,Summon a comic game!,6,411,Sep '16,events and challenges
321,Comic Book Workshop Sunday August 19 (2018),207,386,Sep '16,events and challenges
322,Favorite Character Bingo,3,7.2k,Sep '16,events and challenges
323,DEATH RACE! With your characters! (Forum Game),248,710,Sep '16,events and challenges
324,This is TNN breaking news!,180,344,Sep '16,events and challenges
325,Drawing contest!,2.3k,581,Sep '16,events and challenges
326,Users age statistics,3,668,Sep '16,events and challenges
327,The Jean-Luc & Friends Super Toon Smackdown!,1.2k,453,Sep '16,events and challenges
328,Anime Expo 2019 - Tapas United,586,2.2k,Sep '16,events and challenges
329,50 Sub raffle-a-thon,11.2k,607,Sep '16,events and challenges
330,COMIC PUNCH 2018 Manga Contest,27,561,Aug '16,events and challenges
331,Gauging Interest? – TAPASTIC #0 Comic Book,604,859,Aug '16,events and challenges
332,Dear Creators at Tapas,26,4.5k,Aug '16,events and challenges
333,Tournament Partner,597,395,Aug '16,events and challenges
334,100 sub art raffle-contest thingie,1,528,Aug '16,events and challenges
335,Happy Lesbian Day of Visibility! Give a lesbian creator &/ comic some love!,234,1.0k,Aug '16,events and challenges
336,Final #ComicBookHour Q&A - Sunday May 29th 10 AM PST,2,640,Aug '16,events and challenges
337,How do different comic or novel writers get their ideas from?,226,2.0k,Aug '16,events and challenges
338,Tapas Blocking Feature for Creators,99,3.9k,Jul '16,events and challenges
339,Tales Of The Wandering Stranger - Read A New Comic Anthology!,2.5k,956,Jul '16,events and challenges
340,Globalcomix is doing an AMA,18,457,Jul '16,events and challenges
341,[ March ] Subscription Event of Red Tail Robot,408,451,Jul '16,events and challenges
342,The Runaway Roadtrip Collab!,9,419,Jul '16,events and challenges
343,Want your OC into a Blockhead?,592,326,Jul '16,events and challenges
344,Just dropping by to thank everyone!,45,487,Jul '16,events and challenges
345,Want your OC as one of my blockhead!,1.2k,969,Jul '16,events and challenges
346,Is the Search Engine Busted…?,6,636,Jun '16,events and challenges
347,[ February ] Subscription Event of Red Tail Robot,3.2k,371,Jun '16,events and challenges
348,The 2017 StArt Faire Excellence in Webcomics Awards,27,1.2k,Jun '16,events and challenges
349,Storyteller Question of the month! Join in!,1.6k,1.2k,Jun '16,events and challenges
350,Character Design Contest,73,460,Jun '16,events and challenges
