,Topic Title,Category,Tags,Leading Post,Post Replies,Created,URL,,,,,,,,,
10,Help: Formatting widget for browser?(ANSWERED/CLOSED),Tech Support | Site Feedback,[],"So sorry, but I don't know where to look...
I totally lost the thread that mentioned this...one of the site users (I think a novel writer?) created a formatting widget that allowed you to cut and paste into the editor without losing any formatting...does anyone know where to find that info?
Thank you so much!","[""\n\n\nTapas Paster for Novelists by miqinviolin 🕮 Writing | Novels\n\n\n    [image] \n\nHello, novelists!  \n\nWe would like to share Tapas Paster, a FREE Google Chrome extension created by miqinviolin. It allows novelists to paste formatted text into the Tapas novel editor while retaining bold & italic formatting. Please see miqinviolin's original forum post.\nDownload it for free on the Google Chrome Store here!\n\n[image] \n\nPlease see miqinviolin's original forum post.\n\n\n\n\nHow to Use: 1. Download the free extension here.  2. Pin the extension to your Google Chrome toolbar…\n  \n\n"", 'OMG thank you!', ""You're welcome ^__^""]",8/7/2021 15:18,https://forums.tapas.io/t/help-formatting-widget-for-browser-answered-closed/62644,,,,,,,,,
11,Is there Alt Text/Image Descriptions for comics?,Tech Support | Site Feedback,[],"I'm uploading my first comic to Tapas and as a disabled person I try to keep accessibility in mind. One thing I do is provide alt text/image descriptions for all my images on social media. Is there such a feature on Tapas, as I can't seem to find one? If not, why hasn't this been implemented yet?
Thanks in advance.","['This is actually a really good point, maybe we could bring this up with the staff as a potential feature, @ratique ?', ""There's author's note, which technically works as any other description feature on other social media platforms, is it not? Is there other more convenient ways to do it, like push up notification when you click on the page you mean?"", 'You mean the note you can put at the very end? That\'s only once per episode, right? I would have to cram so much text into the author\'s note to provide image descriptions for every single page per episode, and it also wouldn\'t be lined up alongside each image.\nPeople who use alt text (I don\'t use it myself so I\'m just going off what I know) usually have software that reads it out to them. It looks at the image and then it looks at the alt text that\'s attached to the image and reads that out, if that makes sense. Like you know when an image on a webpage doesn\'t load properly and it instead says ""image_of_a_flower.png"", that\'s alt text. So instead of ""image_of_a_flower.png"" it would read out the full image description for that page.\nHere\'s an example of the kind of alt text I write for one of my pages:\n\n[Image description: A comic page of 6 panels in black and white. The art style is cartoonish with soft grey shading.\n1: A Victorian mansion sits amongst the English countryside. Caption boxes in a handwritten font say: ""November 1st, 1888. It is cold outside today.""\n2: A young man (Percy) sits indoors, writing in his diary. Caption: ""I almost thought not to go for my daily constitutional, but it is the only chance I have to see the outside world. In any case, I doubt Worthington would allow me to stay indoors, drowning in self-pity all day.""\n3: Percy looks out the window, watching another, bulkier man in working clothes - Worthington - tending to a bush in the garden. Caption: ""For a man who doesn’t speak, he can be surprisingly insistent.""\n4: Worthington looks up, meeting his eye.\n5: Percy looks caught off guard. Caption: ""Sometimes I think he can read my mind.""\n6: Percy looks away. Caption: ""But then, I suppose it is the job of a servant to know his Master’s whims.""\nEnd image description.] \n\nHope that helps clarify what I mean?', ""Yes, thank you. I don't know how it works on other sites, since for me most of them are the same (as in, you cannot put a description for every picture on Instagram or Twitter if you put a few of them in one post so it's the same as on Tapas, but I guess you can do it on Facebook). Anyway, hope the support will help "", ""You can actually do it for both Twitter or Instagram.  It is a bit hidden though, which is frustrating.\nOn Instagram, go to Advanced settings -> Write alt text.\nOn Twitter, click 'Add Description' at the bottom after choosing your image.\nHope that helps you make things more accessible!"", ""This has been very educational for me! I never knew about this use of alt text. I'll keep this in mind"", ""One thing people might not realise is that it's not just people who are 'fully blind' who use alt text! Alt text could be used by people who may have poor vision and be able to see the full image but not read the fine details, or dyslexic people who struggle to read the fonts you use on your comic page.\nSo the more people who use alt text/image descriptions the better. \n(I am so sorry if I didn't use the right terminology here, my knowledge of the visually impaired community isn't as good as I'd like.)"", ""You could probably have a novel alongside your comic that has the alt text version, if you'd like to do that (since it will be just a lot of text) Also, the novel text can be made larger or smaller and the font comes in a few versions--it's a lot more accessible for readers and you can still put an image in it if you want to relate it back to the comic."", 'this was one feature I solely miss from Smackjeeves. I would love to see it here.', ""That's great, if you could keep me updated on this that'd be amazing as I can then let my followers know when the feature is available!"", 'Hello, just wondering if there has been any update on this?']",12/15/2020 9:39,https://forums.tapas.io/t/is-there-alt-text-image-descriptions-for-comics/52591,,,,,,,,,
12,Discourse setting: automatically track/watch topic after posting,Tech Support | Site Feedback,[],"Hello Tapas team!
Not sure if this is the right place to post, so feel free to move if needed.
I have a forum-related technical question, specifically about this preference setting:

Would it be possible to include ""Normal"" in that dropdown?
I haven't yet gotten around to it, but if I were to post in a lot of topics, it could get quite cumbersome to have to change the status manually to ""Normal"" every time, and too many notifications/unread topics can be overwhelming >.<
Thank you for your time! ",[],0,https://forums.tapas.io/t/discourse-setting-automatically-track-watch-topic-after-posting/62573,,,,,,,,,
13,HELP ME PLEASE! platform problems :c,Tech Support | Site Feedback,[],"I have had this error for a long time and tapas does not answer me by any means: cIf I enter ADS it does not respond and the donation option does not appear but I am receiving them.He asks me for requirements and I already meet them. HELP!


prnt.sc2



Screenshot
Captured with Lightshot





","[""Thanks :c \n\ntapas.io2\n\n\n\nKiss.Comic.BL\nI'm a girl with a tablet ♥\n and an empty stomach....\n\n\n\n\n\n"", ""for the gods!the ADS yes! but I still can't see my donations :c\n\n\nprnt.sc1\n\n\n\nScreenshot\nCaptured with Lightshot\n\n\n\n\n\n"", ""Thanks a lot!! I have sent messages everywhere and it is the first time they help me !!You're the best!""]",8/3/2021 22:22,https://forums.tapas.io/t/help-me-please-platform-problems-c/62524,,,,,,,,,
14,Tapas Link didn’t work on App,Tech Support | Site Feedback,[],"Hello Tapas Creator & Developers,
I would like to know if you guys face such Link Problem?

While people click the link of my comic on Facebook (Link1: https://tapas.io/episode/22273651 ),only Tapas App open. The App show it's Home Page and my comic didn't appear at all.
But when I used new type of Link (Link2: https://tapas.io/series/Random-Balloons-in-the-Sky/ep1),It work sometime on some People but some are not.

So please let me know if there's solution for that. Thank You.",['Thank You! '],8/2/2021 10:55,https://forums.tapas.io/t/tapas-link-didnt-work-on-app/62460,,,,,,,,,
15,Where the f is the Darkmode?,Tech Support | Site Feedback,[],"(With all due respect, but im mad:)I am acually considering buying comics here and then reading them on shitty aggregator sites because my eyes fall off.Virtually every Manga site has them except W.. and you. WHY
And considering that u just sold for 500.000.000 I think its fair to say that money isn't the problem here.So pls there is literally no downside in adding this feature. JUST DO IT!","['Yo, chill. As much as we want it, demanding it in such a pissed-off manner is definitely not gonna do anything lol\neven less so from someone who made this as their first post...', '^^ what they said. I don\'t know if you\'re familiar with ux/ui and web application design, but there\'s no ""just do it"" button. That takes careful design. There\'s a reason web developers are paid what they\'re paid.', 'Gonna be completely honest, Tapas has never been a very tech savvy website and i mean that with all the love in the world. \nLast I checked Dark mode was ""in the works"" if that means anything to you but a lot of ""in the works"" things took about 3 years to come into fruition. \nI don\'t really know where their priorities are but from my little understanding of the website its not being built on the best foundation- tho this is just coming from me who whenever I try to make my tech savvy friends read my comic they laugh/cry every time and its usually followed up with endless complaining about the ui ', ""If you use chrome you can use a dark mode extension. I haven't tried it with tapas so I don't know how well it'll work though."", 'I just use Firefox and use Dark Reader. Solves the problem for me, anyways! (I also prefer dark mode.)', ""i still find it sus that pepople have been asking for this for ages and it only ever got implemented for novels which i appreciate but also sitewide dark mode would be great\nplus it's not some cosmetic request it's literally an accessibility feature so to tell your user base to just find alternate means when you could put something in the site it seems kinda messed up..."", 'Yo just lower ur screen brightness', 'i personally have my monitor brightness set to the lowest setting and i have night light enabled (a windows feature) which is a blue light filter and as someone who often gets photophobic migranes it\'s still not enough sometimes so to say ""just turn down your brightness"" is literally completely missing the point', ""Kind of impossible to implement for comics since the comics themselves have their own background gutters. The white is the artist's decision and is part of the png's themselves.""]",8/1/2021 20:41,https://forums.tapas.io/t/where-the-f-is-the-darkmode/62439,,,,,,,,,
16,"Lost all my text on draft, help please!",Tech Support | Site Feedback,[],"I was using Tapas Dashboard recently to edit my written chapters on my phone and hit preview to see what it would look like on mobile. For reference the document I was previewing was a draft so it wasn’t officially viewable because once it’s scheduled readers can see it’s up. When I went back to the page where my draft was everything I had written down in that episode had disappeared and I hadn’t cut it or anything and even though I tried to, the undo would not work. When a document is in draft it also saves automatically so there’s no way to access older versions of the document. There’s a disclaimer that says tapas recommends dashboard to be used on a desktop or tablet but this is the first time something like this has happened to me where the whole page seemed to be reloaded and ALL the text had disappeared. Unfortunately I was in a writing splurge last night so I didn’t get the time to make a copy of it as a word doc.
Is there any possible way for staff to rewind the file or for me to do it myself?","['Bumping this thread because same thing happened to me too recently. Hopefully @staff can help.', ""yah, just want to bump in case staff or anyone has an idea of what's going on?"", 'All I can tell you is to always write in word first before copy pasting to Tapas. Im too afraid to trust web platforms to not lose my work =(', ""Unfortunately it doesn't help in that I had guessed that nothing could be done, but I appreciate your answer, thanks for stopping by  At least this can be the final kick to get me to start it again ^^'"", 'There really needs to be a save button. I cut and pasted my text into a draft and watched the little button say :draft saved!"" and then came back to NOTHING.', ""and I'm on desktop not mobile"", ""On Firefox and Windows, this has been happening recently too when copy-pasting things into the editor. As soon as I click out of it and back in, the text is gone (even if it says that it's saved). I make last-minute corrections in the tapas editor so it's not a big loss, but still an annoyance a lot of the time.""]",7/29/2021 17:40,https://forums.tapas.io/t/lost-all-my-text-on-draft-help-please/62306,,,,,,,,,
17,FIXED Username taken - but I can’t find it,Tech Support | Site Feedback,[],"I wanted to change my username and it says in the settings that it's already taken, but when I go to the link (tapas.io/username) it says ""We couldn't find the page you're looking for."" Is there a way to contact tapas and ask for a fix, so that I can get my username when it's not taken anymore? I would really like to have that name because I have it on all my other social media too and it would help a great deal in my following to make it easy to find me here under the same name.
EDIT: Don't know why but I tried again a day later and now the name was availabe. Phew!",[],0,https://forums.tapas.io/t/fixed-username-taken-but-i-cant-find-it/62277,,,,,,,,,
18,Text error Fight like a girl episode 41,Tech Support | Site Feedback,[],"Some kind of text error occurred here on Fight like a girl episode 41.

image.png1730x983 768 KB
","['Is that a problem with the program used to draw it or with tapas?', 'This is a premium/featured comic not their comic so it has nothing to do with the program, just a text error while translating.']",7/29/2021 22:49,https://forums.tapas.io/t/text-error-fight-like-a-girl-episode-41/62310,,,,,,,,,
19,My bookmark moves whenever the comic I’m reading updates,Tech Support | Site Feedback,[],"So like usaully when I'm reading a story, the site remembers where I am (I haven't tested this on mobile by the way, just on browser) but sometimes--not all the time, but sometimes, when a novel updates, my bookmark moves to the most recently updated episode or chapter. This is kind of a problem when I'm reading something with like 100+ updates and I'm still on episode 20. I'd like to keep my old bookmarks so I don't lose where I am (especially in a novel, where there are no pictures to quicky figure out where I am)
Is there a way to keep the bookmark from moving? Is it something that the author has done on their end? Or is this just a me problem with firefox?","[""yeah, I'm clicking on the updated list and it's only doing it to some things and not all things? If I type the link into my search bar, it's still going to the newly updated post instead of the one I just read. So like I was behind on reading Midnight Furies, but it kept the original bookmark despite updating. But, when I went to read Of Bones and Blooms, the bookmark jumped me way forward to 100+ updates later when the series updated. Maybe it's just a thing that happens to novels?"", ""I'm not 100% but that is my theory""]",7/27/2021 19:12,https://forums.tapas.io/t/my-bookmark-moves-whenever-the-comic-im-reading-updates/62193,,,,,,,,,
20,Mature filter is turning on itself,Tech Support | Site Feedback,[],"Hello,
When I turn of mature filter, after few days it's again turned on... it's so frustrating, always going to settings to change it off and go back to series... I know that comic contain mature stuff, I don't need being always remminded by it,... I saw already much much worse things even IRL, and I would like to have that filter permanently off.",['What is it turning the mature filter on? Is it a page that has mature content?'],7/26/2021 11:47,https://forums.tapas.io/t/mature-filter-is-turning-on-itself/62151,,,,,,,,,
21,NSFW filter keep turning on,Tech Support | Site Feedback,[],"As above. The mature filter is turning on by itself. Every time I turn it off in my settings, few days later it turns on again. Please check it out, I hope my computer isn't haunted o^o","[""I'm getting this too!"", ""\n\njoannekwan:\nI've also noticed I get logged out every once in a while on Tap and elsewhere (but that might be a separate thing).\nYea it does that sometimes, but I wouldn't consider is as a problem since it happens once every... 2 months maybe? At least for me."", 'And here I thought I was going crazy.\n""I thought I changed that setting? Well I guess not since it\'s asking me again, guess I forgot to hit save""', 'I get the same thing in both the app and the site... seems like a bunch of little bugs have creeped up since the last update :/', ""\n\nsomvi:\nI get the same thing in both the app and the site... seems like a bunch of little bugs have creeped up since the last update :/\nI wouldn't say that, I think the problem appeared way before the last update."", 'Has to be a bug on Tapastic\'s part. I\'ve had that happen a few times myself when I\'m reading one of my favorite comics most of which either have NSFW parts or are NSFW comics from the start. \nMy response every time this bug happens to me is always something like ""No please don\'t show me the foul language, nudity, and suggestive themes""  when it asks me if I want to see the NSFW content.', ""I experience this and can say the bug is definitely older than the last update. It's also very easy to reproduce (i.e. it doesn't happen at random times), just make any change to your profile (name, avatar, description, links, location) and save; the NSFW setting will reset after that.\nI assume this would be a relatively easy thing to fix. :/"", ""I was about to make a topic on this when I saw there were a few in existence. I too just experienced this and it has been ongoing, I would say about every month the site logs me out and turns my NSFW filter on.\nI'm not sure if tap knows this is an issue so I'm gonna tag @michaelson"", 'Who needs remembering password today? You have password managers.']",12/3/2015 14:23,https://forums.tapas.io/t/nsfw-filter-keep-turning-on/9108,,,,,,,,,
22,New SPAM account,Tech Support | Site Feedback,[],"There seems to be a new spammer on the site to replace the old novelstar spammer. I always get so excited when someone comments on my work and it's such a bummer when it turns out to be spam.
Their comment history is all the same comment on various stories.

tapas.io5



leoreview2
Your home for the world's most exciting and diverse webcomics and novels from every genre. Discover stories you'll love, only on Tapas!





","[""Thanks for the heads up! I'll be sure to report them""]",7/23/2021 11:56,https://forums.tapas.io/t/new-spam-account/62062,,,,,,,,,
23,Ad revenue problem!,Tech Support | Site Feedback,[],"I finally have enough subscribers to unlock the ad revenue but when I press activate, it doesn't do anything. I don't know what I'm supposed to do but can someone please help?","[""It happened to me too. It's a bummer that we gotta wait until business day coming while the series is getting more views."", 'Oh, thank you @victoria1! I just saw this right now. Thanks for the help ', ""I am experiencing the same problem and was just about to email Support as well, but thought to check here first, so I'm relieved to hear it's not just me. ^^;"", 'Thank you so much, Victoria!', ""Hello, I'm also experiencing this same issue and would like help resolving it! Thank you very much for your hard work."", ""Dear @victoria1 ,\nWould you be so kind and activate my ad reveneau as well?Clicking on the button doesn't work for me.\nBest regards!"", 'Thank you so much! Have a wonderful day/ night!', 'I was just about to make a post about this but this one already exists.\nI am also having this problem and would like help resolving it please.', 'Victoria, I appreciate it!!!', ""@victoria1 ,\nWould you kindly activate my ad revenue as well?Clicking on the button doesn't work for me either. Thank you!"", ""@victoria1 Oh, whoops. I should fill that out.\nBut meanwhile, it's:  https://tapas.io/series/Veronica-Triumphant2""]",2/20/2021 19:50,https://forums.tapas.io/t/ad-revenue-problem/55338,,,,,,,,,
24,Bug: Early Access comics don’t remember my place,Tech Support | Site Feedback,[],"This has been going on for months so I have a good amount of data on it: when I get a notification that an early access comic I'm subscribed to has updated, and I click that notification to go to the comic, it takes me NOT to the most recent page, but to a specific older page every time. Affected comics include The Flying Ship, Finding Home and Charity Case. I do not have an early access subscription to any series, so I get ""updates"" as the pages are released to the general public.
To use an example for clarity, the past eleven times I've gotten notified that The Flying Ship has updated, the link has taken me to episode 216 (4.37 - Of All The Days) instead of the most recent one. Before that, it was episode 200 (4.23 - SLAM!). 
It seems to have something to do with certain pages not being marked as read, since episode 200 appears in black in the chapter list while episode 199 appears in grey. Similarly, episode 216 and all after it are black, but 215 is grey. (See images) It seems like when I go to a series to see the latest update, it takes me to the episode after the most recent ""read"" episode, so if none of the pages can be marked read, I'll keep getting bumped back to that certain point in the archive whenever I go to read it.
Would love to see a fix for this very annoying bug.","[""It looks like some sort of fix has been applied? All the affected comics have had their second-most-recent update marked as read for me, which has made the notification links work as expected. The older episodes are still unread, which doesn't constitute a problem for me but might be useful debugging information. I'll report back if the problem appears again with subsequent updates."", 'Okay, Finding Home has updated again and the notification successfully took me to the latest page; both the most recent public episodes are marked as read for me now.\nAdditionally, Charity Case just updated for the first time since the apparent fix, and although clicking through the first time took me to an old episode, going back to it now confirms that all the updates I scrolled through to get to the new one have been marked as read. Wish I knew who to thank, but this bug does seem to be resolved.', ""Ugh. Update: checked The Flying Ship today for the bonus update and the previous update (Engage Thighs, which I did indeed already read) had not been marked as read. The bug persists, but more intermittently than I had thought. Refreshing the page DOES mark Engage Thighs as read, but NOT Bonus: Feelin' Lucky, so I expect I'll get linked to Bonus: Feelin' Lucky the next time the comic updates.\n"", ""Okay after a few months of reading I'm happy to report that this issue is, afaict, totally resolved. Great work friends.""]",2/25/2021 12:26,https://forums.tapas.io/t/bug-early-access-comics-dont-remember-my-place/55521,,,,,,,,,
25,This is an ad.. Is this allowed?,Tech Support | Site Feedback,[],"I found this while browsing novelshttps://tapas.io/series/buy-weed-online-europe-delivery21
And I am not sure it’s allowed","['I think it\'s a bot. I\'ve seen bots like that in the comics section that were all ""Free movie that just came out in theaters no really totally legit!"" Just report it and move on is the best thing I\'ve found to do regarding these bots.', 'Hmm, I see, thanks!!', ""I don't think this is allowed, and it's most likely posted by bots. I don't see a report button either, so I'm not sure what to do at this point lol"", 'No problem. ', 'On the website, you go to an episode and click the “…” button at the bottom, I’m not sure how to report with the app though', 'Just checked the link again, seems like the series is taken down now', 'Yup. It happens sometimes that bot makes new series as ads and simple report is enough to deal with it.']",7/21/2021 19:05,https://forums.tapas.io/t/this-is-an-ad-is-this-allowed/61977,,,,,,,,,
26,Can’t activate Support Option even after reaching Milestone,Tech Support | Site Feedback,[],"Hello, so I have just reached the Milestone of reaching 250+ Subscribers in my Webcomic (257 subs to be exact at the moment). I am trying to activate Support option, but even if I have already checked all the boxes, it won't activate no matter how many times I click on the Activate button.
Can someone help me, please?
Tapas_Support_Program.jpg2000x1328 181 KB
?","[""me too!  I thought I'm the only one. I've reached the 250 subs milestones few days ago. and i can't activate the support program TT. I've emailed them 2 days ago, hope they'll hear us out.\nsupport program.JPG737x926 57.6 KB\n"", ""Hello @victoria1 I also have a similar problem, when I tried clicking on the 'Activate Support now' button, \nScreen Shot 2021-07-22 at 3.07.58 AM 1.png696x702 38.5 KB\n It only shows me this, even though I fully reached the 250 subscribers milestone:\nScreen Shot 2021-07-22 at 3.08.22 AM.png1182x702 22 KB\n It worked perfectly before but somehow it stopped working, Could you please help me?"", 'Thank you so much, It works again perfectly now!  Thanks again for your help']",2/22/2021 2:02,https://forums.tapas.io/t/cant-activate-support-option-even-after-reaching-milestone/55367,,,,,,,,,
