,titles,replies,views,activity,category
165,World Building. What’s unique in your setting?,121,242,Apr 22,writing-novels
166,Someone recommend good bl to me,18,128,Apr 22,writing-novels
167,Hidden Siblings?,217,161,Apr 21,writing-novels
168,PROMOTE your Stories! But only using the scariest scene!,23,338,Apr 20,writing-novels
169,Five Ways for Pansters to Plan,265,192,Apr 20,writing-novels
170,“What is mana?”,13,278,Apr 20,writing-novels
171,Making a villain a victim,74,226,Apr 20,writing-novels
172,Kindle Vella Update,0,410,Apr 19,writing-novels
173,How to fix a crappy story?,79,446,Apr 19,writing-novels
174,What Are Your Thoughts on Second Male Leads?,21,343,Apr 19,writing-novels
175,Looking for story building and writing advice!,217,255,Apr 19,writing-novels
176,Finding historical european maps HELP,8,93,Apr 19,writing-novels
177,Gaming the system,86,173,Apr 19,writing-novels
178,How do I get subscribers on Mangatoon,9,126,Apr 18,writing-novels
179,Post a passage relating to a word game,190,138,Apr 18,writing-novels
180,Review and sub’s for novel writer,5,288,Apr 18,writing-novels
181,Any advice for writing blurbs?,119,149,Apr 18,writing-novels
182,Recommend some novels related to business,7,92,Apr 17,writing-novels
183,Getting Your Character Voices “Right”?,84,188,Apr 17,writing-novels
184,Does Chapter Length Matter?,11,199,Apr 17,writing-novels
185,"If you have ADHD, check this out",177,156,Apr 17,writing-novels
186,HORROR WRITERS what inspires you to write?,25,128,Apr 17,writing-novels
187,New novel FIND YOU AGAIN,262,70,Apr 17,writing-novels
188,How to reach out readers?,5,142,Apr 16,writing-novels
189,What genre do you enjoy writing the most?,110,185,Apr 16,writing-novels
190,Choosing A Genre from a strategic position,3,159,Apr 16,writing-novels
191,Bublish (an interesting site I stumbled upon),97,123,Apr 15,writing-novels
192,Is Prolific Problematic?,12,392,Apr 15,writing-novels
193,Top Web Fiction Invites!,121,115,Apr 15,writing-novels
194,Recommend me template for book,1,75,Apr 15,writing-novels
195,Amazon now doing web novels,73,151,Apr 15,writing-novels
196,Historical Fiction Category?,5,360,Apr 15,writing-novels
197,First page of my draft novel <3,104,85,Apr 14,writing-novels
198,Flex Your Achievements!,38,254,Apr 14,writing-novels
199,Recommend Me Stories! — Connecting Avid Readers and Emerging Authors,521,1.7k,Apr 14,writing-novels
200,Why you should watch more than just kids’ shows,7,209,Apr 14,writing-novels
201,Google Drive or Microsoft Word?,138,260,Apr 13,writing-novels
202,Looking for Joseon novels,8,114,Apr 13,writing-novels
203,Thinking about converting my comic into a novel,175,108,Apr 12,writing-novels
204,First Draft Rant,56,198,Apr 12,writing-novels
205,Hello First Time Writers,368,118,Apr 11,writing-novels
206,Is it nomal to lose motivation when writing a second draft?,10,173,Apr 11,writing-novels
207,Should You Edit/Revamp Published Chapters?,172,222,Apr 11,writing-novels
208,I have chosen my next BL novel to publish on Tapas! MC sketch inside ;),23,147,Apr 11,writing-novels
209,Advice for new (SFW) romance writers,263,197,Apr 11,writing-novels
210,Question on changing the setting,7,142,Apr 11,writing-novels
211,How to get out of a writing rut?,144,181,Apr 11,writing-novels
212,Worth Updating Episode 1,10,100,Apr 11,writing-novels
213,"Hello there! I’m looking for someone to help me translate my story from Spanish to English. (Shared rev, 50/50)",172,121,Apr 9,writing-novels
214,Drop an unreleased portion of your novel,19,165,Apr 9,writing-novels
215,"Favourite chapter of your story, briefly explain why",263,260,Apr 9,writing-novels
216,Need Help With An Idea I have for My BL Novel?,3,165,Apr 9,writing-novels
217,Promote someone else’s web novel here!,82,874,Apr 9,writing-novels
218,2k words a day challenge?,24,136,Apr 8,writing-novels
219,Need Novel illustrations?,289,112,Apr 8,writing-novels
220,Read for Read or Critique for Critique!,9,247,Apr 7,writing-novels
221,Post your bite-sized episode one here and i’ll read and subscribe to those i find interesting,105,256,Apr 7,writing-novels
222,2 Months of Publishing,12,190,Apr 7,writing-novels
223,Slow burn or nah?,65,244,Apr 7,writing-novels
224,I’m not exactly sure how to write my story the way I want to,8,120,Apr 7,writing-novels
225,Need some help coming up with a name for something,181,105,Apr 7,writing-novels
226,Kakao and Radish,22,221,Apr 7,writing-novels
227,Post novels that aren’t yours,293,81,Apr 6,writing-novels
228,Bright Morn of Issareth down,31,98,Apr 4,writing-novels
229,Fun Facts Shared With Your Readers,402,186,Apr 4,writing-novels
230,Why do you like writing?,12,309,Apr 4,writing-novels
231,How did you choose your protagonist’s sword?,161,197,Apr 3,writing-novels
232,What bad habits are you trying to lose?,18,177,Apr 2,writing-novels
233,Yes you can post to Vella from free sites - with conditions,310,159,Apr 2,writing-novels
234,At the mercy of the reader,12,332,Apr 1,writing-novels
235,I would like some critique please!,401,116,Mar 31,writing-novels
236,Pantsers… when the muse drops on you big time,14,150,Mar 31,writing-novels
237,Any Plotters Around?,237,279,Mar 31,writing-novels
238,Show vs Tell Advice - Getting the timing right,26,128,Mar 31,writing-novels
239,Novel Description Feedback,439,141,Mar 30,writing-novels
240,"ADHD in you, in me, and our writing",12,184,Mar 30,writing-novels
241,"Feedback Needed, Pretty Please!",280,198,Mar 30,writing-novels
242,Can somebody please help with my series!?,17,146,Mar 29,writing-novels
243,Other platforms for novels,232,293,Mar 29,writing-novels
244,Is this scene too short or too long?,2,102,Mar 28,writing-novels
245,I’ll draw your OC if you,72,135,Mar 27,writing-novels
246,Closing of the Amazon Vella thread,164,110,Mar 27,writing-novels
247,Let me write a scene for your character (0/3),1.8k,283,Mar 26,writing-novels
248,Scene study and why you might want to take an acting class,25,78,Mar 26,writing-novels
249,“Backhanded” Compliments,291,251,Mar 25,writing-novels
250,Amazon vs Wattpad,34,448,Mar 24,writing-novels
251,New spam for writer alert,260,78,Mar 24,writing-novels
252,How rhythmic is your writing?,72,99,Mar 23,writing-novels
253,Short story ideas,468,143,Mar 23,writing-novels
254,Snappy real life comeback lines in life and writing. Share here,17,100,Mar 22,writing-novels
255,A keep-you-on-egde supernatural BL novel,175,71,Mar 22,writing-novels
256,On getting an advance on a book,21,146,Mar 22,writing-novels
257,What do you enjoy about rewriting?,471,96,Mar 21,writing-novels
258,Waiting for Novelstar,13,179,Mar 20,writing-novels
259,Would You Read My New BL Novel?,305,88,Mar 20,writing-novels
260,My Book check it out !1,30,75,Mar 20,writing-novels
261,Amazon Kindle Vella (part 2),314,149,Mar 20,writing-novels
262,Is it okay to write folk-tale based stories?,8,156,Mar 20,writing-novels
263,So how are dealing with your covers?,175,283,Mar 19,writing-novels
264,Testing for plagiarism,32,222,Mar 17,writing-novels
265,Younger Writers - How to Sound “Adult”?,347,147,Mar 17,writing-novels
266,Tips on Writing Dialogue,44,178,Mar 16,writing-novels
267,Feedback on my dialogue. Is this dialogue boring?,2.8k,130,Mar 16,writing-novels
268,Secret Challenge,2,100,Mar 16,writing-novels
269,How do authors write?,78,100,Mar 15,writing-novels
270,Places to advertise web novels,10,159,Mar 14,writing-novels
271,"Chapter 10 Milestone, Promoting my Isekai light novel, Check it out",366,68,Mar 13,writing-novels
272,The Authors voice out in the real world,0,157,Mar 13,writing-novels
273,Does your writing style bore your readers?,72,243,Mar 13,writing-novels
274,"Trope Talk, Let’s go one step up",9,218,Mar 12,writing-novels
275,Name your novel/comic as if it was a light novel,134,213,Mar 11,writing-novels
276,TV option negotiations,5,127,Mar 11,writing-novels
277,The one word idea behind your story,73,428,Mar 10,writing-novels
278,Writing Jam 2.0 (Novels Only),0,534,Mar 8,writing-novels
279,Is my writing style okay?,46,76,Mar 8,writing-novels
280,Motivation to Write,5,122,Mar 7,writing-novels
281,A bit of a weird ethical sitch,193,186,Mar 6,writing-novels
282,Nervous about taking the plunge,0,127,Mar 4,writing-novels
283,What fun things do you do for your fellow writers?,59,84,Mar 4,writing-novels
284,How Much Should You Rewrite?,2,228,Mar 3,writing-novels
285,Wild Speculation,70,154,Mar 3,writing-novels
286,Is It Okay to Post Fanfiction?,4,110,Mar 3,writing-novels
287,“You’re not a good writer”,390,372,Mar 3,writing-novels
288,Having a “rant” mate and why it’s important,10,133,Mar 2,writing-novels
289,Fantasy (Especially Dark Fantasy) Recommendations for Articles,157,101,Mar 2,writing-novels
290,Accepting each other,0,140,Mar 2,writing-novels
291,Plotter or Panster? Which are you?,61,310,Mar 2,writing-novels
292,Writing styles? First person vs Third Person? Past vs Present? Mental Fortitude,3,203,Mar 2,writing-novels
293,Requests for short stories of main series from readers - opinions?,142,93,Mar 1,writing-novels
294,Weeb fanfic novelists,36,154,Feb 28,writing-novels
295,I want to write my own book,391,184,Feb 28,writing-novels
296,Writing Fictional Towns,7,155,Feb 28,writing-novels
297,Writing rant: Novel edition,116,411,Feb 27,writing-novels
298,Question about pitching to tapas,6,212,Feb 27,writing-novels
299,How Do You Deal With Writer’s Block?,131,343,Feb 27,writing-novels
300,Harsh Truths about Writing,122,222,Feb 26,writing-novels
301,Fantasy story: Do I have to teach a lesson?,2.9k,185,Feb 26,writing-novels
302,Would you read a story based on card battles?,15,79,Feb 26,writing-novels
303,Battle Shonen fans (I’m promoting my novel inspired by it and to chat),189,89,Feb 25,writing-novels
304,Character Motivation,7,198,Feb 25,writing-novels
305,Greek Mythology stories,142,1.4k,Feb 24,writing-novels
306,How to convey dehumanizing tone?,11,145,Feb 24,writing-novels
307,Rejection- How do you view it?,193,191,Feb 23,writing-novels
308,Contemporary YA Writers/Novels,0,142,Feb 20,writing-novels
309,Sketchy(-ish) Recruits on Comment Sections?,48,99,Feb 20,writing-novels
310,Fantasy/Sci-fi Writers Assemble! (Share your novels!),0,981,Feb 19,writing-novels
311,I need yall thoughts about my poem,78,85,Feb 19,writing-novels
312,"Novels with music, wanna here your playlist",1.2k,96,Feb 19,writing-novels
313,"Sunday reading, reading your first chapters (CLOSED)",6.7k,338,Feb 18,writing-novels
314,"Hello, everybody!",6,105,Feb 18,writing-novels
315,Popular tags. What tags are you using?,137,138,Feb 18,writing-novels
316,Editing Talks with Books,2,130,Feb 17,writing-novels
317,Feedback On My Novel Descriptions,127,84,Feb 17,writing-novels
318,What is Tapas word count limit for Novel Chapter uploads?,40,89,Feb 16,writing-novels
319,"Writing Punches, pushes and fights",1.1k,120,Feb 15,writing-novels
320,"Tips for Pantsing, Plantsing, or Literary Gardening",7,95,Feb 14,writing-novels
321,Motivation for writers,170,235,Feb 13,writing-novels
322,Are you planning on turning your writing into an audiobook?,2,108,Feb 12,writing-novels
323,How graphic is M rated in Tapas?,95,126,Feb 12,writing-novels
324,Best Social Media Outlets To Promote Novels,30,147,Feb 12,writing-novels
325,For novels specifically but comic creators feel free to chime in!,218,161,Feb 11,writing-novels
326,Feeling blah and bored. Show me your novels,8,338,Feb 11,writing-novels
327,Creating plots for a queer romance,188,165,Feb 10,writing-novels
328,New To Making Covers- ADVICE NEEDED,9,187,Feb 10,writing-novels
329,Writing BL Novels?,945,210,Feb 9,writing-novels
330,"Covers for a series I am working on, what do you think?",28,170,Feb 8,writing-novels
331,How do you write numbers?,242,130,Feb 8,writing-novels
332,"One Month, 5 Chapters",3,153,Feb 7,writing-novels
333,What’s the last Paragraph You Wrote?,128,231,Feb 6,writing-novels
334,What was the latest chapter or episode you wrote?,8,128,Feb 6,writing-novels
335,"New Creator here again, Proper Introduction",161,70,Feb 6,writing-novels
336,I just finished uploading the most important chapter of my story so far! AND I’M EXCITED!,36,83,Feb 5,writing-novels
337,Emotion-linked powers: love ‘em or hate ‘em? (+poll),338,181,Feb 4,writing-novels
338,Some musings on whether to write a series or not,9,71,Feb 4,writing-novels
339,Referral of good battle game (physical) w/board & men,192,63,Feb 4,writing-novels
340,Overuse of some filler words,24,140,Feb 4,writing-novels
341,Remember that really bad story you wrote when you were ten?,278,206,Feb 3,writing-novels
342,Repetitive words (not filler words),5,112,Feb 3,writing-novels
343,How Did You Choose Your Novel Title?,226,340,Feb 3,writing-novels
344,Let’s discuss about your novel’s magic system,60,272,Feb 2,writing-novels
345,Starting a sentence with “and” or “but”,410,184,Feb 1,writing-novels
346,Fantasy writers… an art prompt for you today,32,120,Feb 1,writing-novels
347,Have a favorite paragraph that inspires you to write more?,446,71,Feb 1,writing-novels
348,Showing “Behavior” to Writing,22,119,Jan 30,writing-novels
349,Positive Vibes please?,343,168,Jan 30,writing-novels
350,Does My Novel Fit Tapas’s Readerbase,14,200,Jan 30,writing-novels
351,Writing Short Stories,255,118,Jan 30,writing-novels
352,Make predictions about my story’s plot development!,15,84,Jan 29,writing-novels
353,How much blood can I put in a chapter before it needs a mature rating?,93,85,Jan 29,writing-novels
354,Writers… How Hungry are you?,13,216,Jan 28,writing-novels
355,To sequel or not to sequel.,173,107,Jan 28,writing-novels
356,When research pays off in an odd way,5,139,Jan 27,writing-novels
357,Tapas Novel Recommendations based on Category,126,2.9k,Jan 27,writing-novels
358,Establishing a Mystery,18,130,Jan 25,writing-novels
359,In what style is your story written?,138,369,Jan 25,writing-novels
360,Struggling to Write Second Novel,4,174,Jan 24,writing-novels
361,COVER SHOP!(Only for novels),288,458,Jan 24,writing-novels
362,Do you also draw art for your novel? Show it here!,11,1.1k,Jan 24,writing-novels
363,Question About Writing A Series,149,285,Jan 22,writing-novels
364,What would be considered too graphic for a sex scene?,3,229,Jan 21,writing-novels
365,Emotional Connections,92,166,Jan 21,writing-novels
366,POLL: Do you have a playlist you listened to when you’re writing? Please comment to explain,20,853,Jan 21,writing-novels
367,Children’s Novels on Tapas?,188,103,Jan 21,writing-novels
368,Tropes: zombies genre,15,208,Jan 20,writing-novels
369,History was made in Feb. and March for Black authors and Female Authors,199,86,Jan 20,writing-novels
370,Chrome extension to paste into Tapas while preserving italics/bold!,2,981,Jan 19,writing-novels
371,Discussion. How to depict nobility and royalty?,156,232,Jan 19,writing-novels
372,How to write a “quiet” love scene,14,268,Jan 19,writing-novels
373,Comprehensive list on scheduling; opinions and reasons for the opinions,128,95,Jan 19,writing-novels
374,Dystopian Societies in Sci-Fi,0,127,Jan 19,writing-novels
375,Sometimes you have to crow,70,99,Jan 19,writing-novels
376,What are ‘queer themes’?,1,152,Jan 18,writing-novels
377,To series or not to series… an article that might help,142,108,Jan 18,writing-novels
378,"Thanking subscribers, people who leave likes?",17,181,Jan 17,writing-novels
379,New Book or New Season?,185,76,Jan 14,writing-novels
380,Mobile/Editing Question,7,99,Jan 13,writing-novels
381,Sweet moments in BL,159,297,Jan 13,writing-novels
382,Writers’ Upload Schedule & Algorithm,0,128,Jan 13,writing-novels
383,Man vs Supernatural conflict,123,137,Jan 12,writing-novels
384,The importance of accepting yourself and laughter,13,146,Jan 12,writing-novels
385,"Those who have been featured, how did it effect your story?",392,440,Jan 12,writing-novels
386,"Unwise projects, failed attempts and other embarrassing things we created",7,414,Jan 11,writing-novels
387,Inspiration in Nature!,115,137,Jan 11,writing-novels
388,List one or two well-known works that are similar to your book,3,164,Jan 11,writing-novels
389,The importance of thinking short,75,239,Jan 11,writing-novels
390,What other story structures are there…?,4,182,Jan 11,writing-novels
391,Interactive Story,151,105,Jan 10,writing-novels
392,Symbolism in your novel,41,330,Jan 8,writing-novels
393,From novel to screenplay changes,360,97,Jan 8,writing-novels
394,Quick question:,2,183,Jan 8,writing-novels
395,Pros and Cons of Short/Long Form Storytelling,85,171,Jan 8,writing-novels
396,Admin / Tech thank you for the new dashboard,31,117,Jan 7,writing-novels
397,Anyone use Inkspired?,254,158,Jan 7,writing-novels
398,I just finished my first web novel!,162,111,Jan 6,writing-novels
399,How much profanity is allowed before you add the mature label?,1.7k,216,Jan 6,writing-novels
400,Happy New Years! Share your novels here and let’s check each other out :D,6,288,Jan 5,writing-novels
401,Getting subscribers,209,797,Jan 5,writing-novels
402,Storytelling Jamboree,29,142,Jan 5,writing-novels
403,Looking for critique!,260,147,Jan 5,writing-novels
404,How do you feel about first person POV novels? (Poll),3,215,Jan 4,writing-novels
405,💖 Valentine’s Staff Picks Selection 💖,114,362,Jan 4,writing-novels
406,Top Web Fiction is Back!,4,291,Jan 3,writing-novels
407,"Do you write novels in first person, third person, or something else?",108,203,Jan 3,writing-novels
408,Editing & Revising,16,224,Jan 2,writing-novels
409,Cool Codenames for Characters,198,126,Jan 2,writing-novels
410,Any Advice For Starting a Novel On Tapas?,6,252,Jan 2,writing-novels
411,"Multiple book series, one book complete… or not",118,73,Jan 2,writing-novels
412,Slow burn romance (comics too),7,451,Jan 1,writing-novels
413,Self-Publishing Trolls,173,178,Jan 1,writing-novels
414,Character ideas,18,178,Jan 1,writing-novels
415,Envy vs Jealousy and other words mistaken for each other,222,334,Dec '20,writing-novels
416,Anyone else find this advertisement in the comments on their novels?,3,254,Dec '20,writing-novels
417,Longest time writing,147,198,Dec '20,writing-novels
418,To Prologue or not to Prologue… are you a fan or not?,7,602,Dec '20,writing-novels
419,Readability checkers - what grade level are your novels,197,380,Dec '20,writing-novels
