,titles,replies,views,activity,category
150,Review swap? Come! I have cookies!,8,100,Mar 4,reviews-feedback
151,Feedback on novel’s 1st paragraph,114,100,Mar 3,reviews-feedback
152,TEAMUWU wants feedback on new look for comic,10,272,Mar 1,reviews-feedback
153,Feedback thread : Synopsis,152,76,Mar 1,reviews-feedback
154,Looking for honest reviews on my comic!,18,217,Feb 28,reviews-feedback
155,Any thought or reviews on this new episode of my shonen/seinen like comic,249,63,Feb 27,reviews-feedback
156,Feedback for novel thumbnail?,13,99,Feb 26,reviews-feedback
157,First digital drawing please give me some feedback,258,231,Feb 25,reviews-feedback
158,Calling all small comic artists!,90,17.2k,Feb 24,reviews-feedback
159,Review my comic,549,110,Feb 24,reviews-feedback
160,Hey tapas! new here~ Looking for a “beta reader” for my pages!,16,135,Feb 23,reviews-feedback
161,Which cover do you prefer?,176,250,Feb 23,reviews-feedback
162,Share the rough color layers of your art & I’ll give you my description!,99,115,Feb 21,reviews-feedback
163,Critique my work!,1.7k,219,Feb 20,reviews-feedback
164,Feedback On Cover Please?,65,156,Feb 19,reviews-feedback
165,Would anyone be interested in a workshop group?,960,111,Feb 18,reviews-feedback
166,Feedback and Reviews exchange?,14,131,Feb 18,reviews-feedback
167,Opinions on Progress?,252,115,Feb 17,reviews-feedback
168,Feedback on summary? Does this “hook” you in?,1,108,Feb 17,reviews-feedback
169,Slow subscribes on my comic,104,355,Feb 17,reviews-feedback
170,Character Arc (“Healing” the Lone Wolf),56,161,Feb 16,reviews-feedback
171,Feedback on Paragraph,541,107,Feb 15,reviews-feedback
172,Is my novel boring?,0,181,Feb 14,reviews-feedback
173,Looking for Feedback. Along with new webtoons to read!,94,117,Feb 13,reviews-feedback
174,My Horror Comic is Completed! I’d love your feedback!,15,107,Feb 13,reviews-feedback
175,Critiquing First Chapters! A hit or a miss?,299,681,Feb 11,reviews-feedback
176,Read a Train.lets get reading,17,108,Feb 9,reviews-feedback
177,Roast my comic or give constructive feedback,96,96,Feb 9,reviews-feedback
178,Please Critique My Oneshot Comic,12,138,Feb 8,reviews-feedback
179,Roast my art (with a purpose) [closed],173,258,Feb 6,reviews-feedback
180,Please give me brutally honest feedback,2,315,Feb 6,reviews-feedback
181,I’ll review your comic ;) (CLOSED) (Will open again soon),130,1.0k,Feb 5,reviews-feedback
182,Feedback on my fanfic novel,3,72,Feb 4,reviews-feedback
183,"I finally updated my comic again, looking for feedback",111,66,Feb 4,reviews-feedback
184,Feedback on my webnovel,1,50,Feb 4,reviews-feedback
185,New version superpower of very hot Watson&Holmes,97,62,Feb 4,reviews-feedback
186,Looking for feedback on my new fantasy novel,2,95,Jan 31,reviews-feedback
187,Just finished my first Chapter- looking for feedback,125,84,Jan 31,reviews-feedback
188,"Just expanded on some lore and character development in my series, I think you’ll find it interesting(hopefully :D)",4,57,Jan 30,reviews-feedback
189,Nearly halfway done my comic. Wouldn’t mind some general feedback and if you want I can give you some as well on your own story?,79,115,Jan 30,reviews-feedback
190,Red Episode Rewrites,55,61,Jan 19,reviews-feedback
191,Opinion on our comic Marina Mafia,599,66,Jan 18,reviews-feedback
192,"Need feedback and honest critics for my comic, please",3,231,Jan 16,reviews-feedback
193,What do you think as of right now?,86,184,Jan 15,reviews-feedback
194,"Hello Would love feedback and reviews on my comic, Dragon Tofu",0,120,Jan 11,reviews-feedback
195,You just found a hidden gem (shhh don’t tell) [closed I have a compleat team now],70,425,Jan 11,reviews-feedback
196,My story Blade of the Devil,90,116,Jan 11,reviews-feedback
197,A feedback and review would be helpful,1.9k,171,Jan 10,reviews-feedback
198,I’m making an African based character (help please!),7,490,Jan 9,reviews-feedback
199,The Grand Six - Feedback/Reviews,171,80,Jan 8,reviews-feedback
200,New vs old thumbnail,9,142,Jan 8,reviews-feedback
201,Just finished my first Arc - Let’s review it!,226,63,Jan 7,reviews-feedback
202,Feedback for background?,8,150,Jan 6,reviews-feedback
203,Looking for feedback on my fantasy story[NOVEL] Feedback in exchange,114,126,Jan 4,reviews-feedback
204,I need feedback pleaseeeeeeeeeee,5,114,Jan 3,reviews-feedback
205,Could I Receive Some Feedback On My Novel?,94,107,Jan 3,reviews-feedback
206,"Been working on my comic font, hope its better now?",12,101,Jan 2,reviews-feedback
207,"I’ve made adjustments to my comic font, its good…… right?",169,221,Jan 1,reviews-feedback
208,What’s holding my series back?,3,241,Jan 1,reviews-feedback
209,I Need Feedback!,101,151,Dec '20,reviews-feedback
210,Can we have a completed section for comics please,2,157,Dec '20,reviews-feedback
211,Does this summary make you want to read the story?,484,179,Dec '20,reviews-feedback
212,I need feedback (webtoon),3,145,Dec '20,reviews-feedback
213,Link me your series and I will critique it,184,1.0k,Dec '20,reviews-feedback
214,Detailed feedback to the first 10 posts (Comics only),3,282,Dec '20,reviews-feedback
215,I want feedback for my webtoon!,109,279,Dec '20,reviews-feedback
216,Second opinions please! Should I keep the episode order the way it is or change it?,1,101,Dec '20,reviews-feedback
217,Announcement & Your Opinions,76,210,Dec '20,reviews-feedback
218,Comic Video Trailer Feedback,1,111,Dec '20,reviews-feedback
219,"Critique, Feedback, and discuss my Webtoon Summary",85,109,Dec '20,reviews-feedback
220,Story Summary. Require Feedback/Constructive Critisism,11,182,Dec '20,reviews-feedback
221,Is My Writing Dry? [Novel],178,134,Dec '20,reviews-feedback
222,Critique my first chapter,4,174,Dec '20,reviews-feedback
223,Give Feedback to the Novel/Comic Above You,118,359,Dec '20,reviews-feedback
224,Seeking/Offering Cover Feedback,13,101,Dec '20,reviews-feedback
225,Review Exchange #1 (1/3),170,171,Dec '20,reviews-feedback
226,Comic/Novel Critique - Get feedback on your work,2,315,Dec '20,reviews-feedback
227,Editing Chapters,121,85,Dec '20,reviews-feedback
228,Review For Review Dark Edition!,9,189,Dec '20,reviews-feedback
229,New to site looking for reviews,242,94,Dec '20,reviews-feedback
230,Looking for feedback on Guardium: a sci-fi epic,7,124,Dec '20,reviews-feedback
231,[Topic is Closed by OP],117,108,Dec '20,reviews-feedback
232,Need some feedback for my new novel,5,125,Dec '20,reviews-feedback
233,"Struggling with my comics, any advices about this?",122,401,Dec '20,reviews-feedback
234,Looking for Feedback on The Pirate’s Chronicle,91,81,Dec '20,reviews-feedback
235,A polite invitation to my Universe,1.6k,635,Dec '20,reviews-feedback
236,Which genre do you think my comic fits into best?,16,137,Dec '20,reviews-feedback
237,Finished up writing a comic and I wouldn’t mind some feedback on the pages done so far,206,121,Nov '20,reviews-feedback
238,Can you give me honest feedback on my new novel?,12,121,Nov '20,reviews-feedback
239,Can you rate my new cover?,145,227,Nov '20,reviews-feedback
240,"Step by Step, Process of making Comis, webcomics, manga",4,99,Oct '20,reviews-feedback
241,Thoughts on my webcomic series’ season 2 so far? Seeking opinions,80,266,Oct '20,reviews-feedback
242,Wanting feedback,3,191,Oct '20,reviews-feedback
243,Looking for Feedback on my story hook,93,74,Oct '20,reviews-feedback
244,"Feedback on Pacing, Please?(Novel)",3,110,Oct '20,reviews-feedback
245,How many pages do you prefer per episode?[CLOSED],83,285,Oct '20,reviews-feedback
246,Huge change of scenary from chap 1 to chap 2. Does it affect the story?,46,122,Oct '20,reviews-feedback
247,Cat Club end of episode 2! How did I do?,611,126,Oct '20,reviews-feedback
248,I Spent a Year and a Half Redrawing My Comic. Tell Me How I Did,16,246,Oct '20,reviews-feedback
249,Need Help For A Better Word Choice,200,155,Oct '20,reviews-feedback
250,"Could I get a review for this episode please, I made it action centered",1,97,Sep '20,reviews-feedback
251,Critiques of recent episode,102,92,Sep '20,reviews-feedback
252,I Need Some Help for Writing,7,197,Sep '20,reviews-feedback
253,Being recommended to un-mature my series?,153,155,Sep '20,reviews-feedback
254,Webcomic Review & Feedback Appreciated,12,107,Sep '20,reviews-feedback
255,I finished Chapter Two in time for the New Year! Feedback appreciated < 3,109,98,Sep '20,reviews-feedback
256,I’m 5 chapters into my series and wanted feedback,12,115,Sep '20,reviews-feedback
257,Reformatting comic for mobile?,184,106,Sep '20,reviews-feedback
258,Review: Diary of the Wolf Queen,11,101,Sep '20,reviews-feedback
259,Can anyone review this chapter before i publish it?,170,86,Sep '20,reviews-feedback
260,Review for review (for comic creators),4,548,Sep '20,reviews-feedback
261,We’re offering free expertise in writing/editing comics… ♥,89,125,Sep '20,reviews-feedback
262,Info dump or not?,12,215,Aug '20,reviews-feedback
263,I Review & Interview Comic Creators on Youtube!,190,182,Aug '20,reviews-feedback
264,Sifi and slice of life on person,13,159,Aug '20,reviews-feedback
265,Do you need a beta reader?,108,182,Aug '20,reviews-feedback
266,Ko-Fi | What to do? (FEEDBACK),0,160,Aug '20,reviews-feedback
267,Do you like lots of dialogue or few dialogue in comics,79,334,Aug '20,reviews-feedback
268,Please hellllp! xc help critiquing my manga so i can hurry n make it cool already xc,26,149,Aug '20,reviews-feedback
269,Is it funny? I need serious criticism,235,215,Jul '20,reviews-feedback
270,Critique for Comic Short,6,118,Jul '20,reviews-feedback
271,Should I restart my comic? Trading feedback for feedback,144,212,Jul '20,reviews-feedback
272,Could you review my comic,21,108,Jul '20,reviews-feedback
273,"Looking for thumbnail review/feedback for my novel (BL,romance)",385,129,Jul '20,reviews-feedback
274,Feedback on Scene,18,147,Jul '20,reviews-feedback
275,Feedback on my webtoon,130,154,Jul '20,reviews-feedback
276,Need help with important scene i want to get right (Any tips or tricks?),16,145,Jul '20,reviews-feedback
277,Read for read for newer authors[Fantasy/Novels],237,125,Jul '20,reviews-feedback
278,📚 Can you help us by giving feedback on our interactive romance reading app? Thank you! 📚,14,91,Jul '20,reviews-feedback
279,Help with cover ideas,168,134,Jun '20,reviews-feedback
280,What do you think of my antagonist’s characterisation and my comic episodes,15,135,Jun '20,reviews-feedback
281,I will review the first few chapters of your Comic!,215,301,Jun '20,reviews-feedback
282,Post your comics down below for others to see!,5,1.4k,Jun '20,reviews-feedback
283,I’d love your thoughts before I get too far,116,208,Jun '20,reviews-feedback
284,Read my first chapter and give me feed back,1,163,Jun '20,reviews-feedback
285,I’m back and ready for your feedback ^^,63,118,May '20,reviews-feedback
286,Novel Review Request Thread,0,312,May '20,reviews-feedback
287,So I reached 30 chapters. Paid review anyone? Space left 4/5,62,199,May '20,reviews-feedback
288,Vibe review in exchange of 15 likes (Thanks! I’m closing it.),6,270,May '20,reviews-feedback
289,New Comic Writer here! I need help to review my comic series. So I will know how to improve it in the future,119,122,May '20,reviews-feedback
290,New Spooky Peacemaker Chronicles (2020) Episode! Reviews,2,101,May '20,reviews-feedback
291,What do you think of my font size (mobile)?,108,162,May '20,reviews-feedback
292,I need feedback on my story,6,133,May '20,reviews-feedback
293,Is anyone interested in review for review,157,150,May '20,reviews-feedback
294,Looking to praise some comics!,4,4.3k,May '20,reviews-feedback
295,Reviewing Three Comics!,156,849,Apr '20,reviews-feedback
296,Feedback would be Appreciated,9,289,Apr '20,reviews-feedback
297,I will give my opinon on your series [CLOSED],195,375,Mar '20,reviews-feedback
298,Feedback on My New Novel,8,148,Mar '20,reviews-feedback
299,New artist here - looking for advice/feedback on my first comic (“:,95,252,Mar '20,reviews-feedback
300,New to posting my stories — Please give an honest review!,7,173,Mar '20,reviews-feedback
301,Could you review my webcomic?,100,308,Mar '20,reviews-feedback
302,Reading Some Fantasy/Romance Comics!,4,887,Mar '20,reviews-feedback
303,I will review the First Two Chapters of your series [Closed!],100,955,Mar '20,reviews-feedback
304,I would love feedback on my Webtoon,11,130,Mar '20,reviews-feedback
305,Reviews needed for a novel,272,165,Mar '20,reviews-feedback
306,Looking for feedback on my two comics (Halloween related),0,96,Mar '20,reviews-feedback
307,Seeking opinions on my webcomic! Mystery/Thriller/Drama,76,162,Mar '20,reviews-feedback
308,I’ll REVIEW your comic! I’ll do it!,6,1.5k,Mar '20,reviews-feedback
309,Comic similar to Bleach needs feedback,217,195,Feb '20,reviews-feedback
310,New comic artist on Tapas,0,204,Feb '20,reviews-feedback
311,New in here can you review my comic please,63,156,Feb '20,reviews-feedback
312,"Need reveiws …Knights Chronicles ,",6,145,Feb '20,reviews-feedback
313,Please review my new artwork for my super hero comic Lions Den,99,138,Jan '20,reviews-feedback
314,Review-ception!,17,429,Jan '20,reviews-feedback
315,"Just uploaded my first combat only episode, pls could i get some thoughts about it",231,180,Jan '20,reviews-feedback
316,Review for Review/Read for Read on ANY chapter,340,714,Jan '20,reviews-feedback
317,Let me review your comic,17.2k,1.8k,Dec '19,reviews-feedback
318,Come get your reviews!,10,6.1k,Nov '19,reviews-feedback
319,Fresh Hot Comic Reviews!,110,1.0k,Nov '19,reviews-feedback
320,Get your Red comic reviews right here (Maybe it is over? Not sure?),3,1.7k,Nov '19,reviews-feedback
321,"Meaty Reviews Season 1 (Post your Comic, Get a Meaty Review) (Finished)",135,3.8k,Nov '19,reviews-feedback
322,Peacemaker Chronicles (2020) Tell me your thoughts and opinions!,14,118,Nov '19,reviews-feedback
323,Looking for beta readers for my comic script,250,162,Nov '19,reviews-feedback
324,Review Mallory Bash for use in studio pitches,2,476,Oct '19,reviews-feedback
325,Give me your underrated BL stuff now! I need it!,115,742,Oct '19,reviews-feedback
326,Youtube Comic Reviews! [NEW VIDEO],16,537,Oct '19,reviews-feedback
327,It’s a review train,219,275,Oct '19,reviews-feedback
328,Comic peer-review,12,299,Oct '19,reviews-feedback
329,Anyone want to review my comic?,156,206,Oct '19,reviews-feedback
330,Looking for a new series to read. Maybe even yours,7,755,Oct '19,reviews-feedback
331,Chapter review ‘cause it’s fun for me [CLOSED],111,648,Sep '19,reviews-feedback
332,Please Critique my Webtoon Series,7,114,Sep '19,reviews-feedback
333,I will critique/praise your comic if you critique/praise mine,131,151,Sep '19,reviews-feedback
334,Comic Critique / Thoughts,3,137,Sep '19,reviews-feedback
335,I like to hear your thoughts about my webcomic!,115,139,Sep '19,reviews-feedback
336,Review my Series Thumbnail,6,164,Sep '19,reviews-feedback
337,First attempt at a short story,108,144,Sep '19,reviews-feedback
338,Will you review my opening chapter?,23,181,Sep '19,reviews-feedback
339,Tell me what you “DON’T” like about my comic,355,239,Aug '19,reviews-feedback
340,I’ve started a podcast and I’m looking for comics to review,1,471,Aug '19,reviews-feedback
341,Monthly Comic Reviews!,161,370,Aug '19,reviews-feedback
342,Give me your opinion of my comic and I’ll do the same for yours!,10,256,Aug '19,reviews-feedback
343,Subscribe and give your opinion on the series tapas.io,107,316,Jul '19,reviews-feedback
344,Praising Your Comics: Vol III,9,883,Jul '19,reviews-feedback
345,I want to promote YOUR comic on Youtube!,181,7.3k,Jun '19,reviews-feedback
346,New webcomics [SIMPLEMINDED],11,168,Jun '19,reviews-feedback
347,Post your comics about animals and review mine!,117,115,Jun '19,reviews-feedback
348,Can anyone give a review about my webcomics please?,2,543,Jun '19,reviews-feedback
349,Hi guys! Got my very first video review!,107,162,May '19,reviews-feedback
350,Let’s start a review train! (novels),65,2.4k,May '19,reviews-feedback
351,I’ll review your comic,681,818,Apr '19,reviews-feedback
352,What do you think of this cover?,2,218,Apr '19,reviews-feedback
353,I’ll read and review your first chapter!,108,458,Mar '19,reviews-feedback
354,Cheese Hunters: New update,2,169,Mar '19,reviews-feedback
355,Offering Comic Critiques! [CLOSED: GO TO THE NEW THREAD!],96,5.9k,Feb '19,reviews-feedback
356,SWEET WIND - A new series,6,188,Feb '19,reviews-feedback
357,Concept art of my character,138,291,Feb '19,reviews-feedback
358,I just finnish my first chapter! I’ll love some reviews,15,321,Feb '19,reviews-feedback
359,Cheese Hunters 5 : NEW UPDATE,258,128,Jan '19,reviews-feedback
360,Pomote yourself but tell me what you think about my comic,8,244,Jan '19,reviews-feedback
361,Seeking reviews for my Pitch-in-Progress,315,193,Jan '19,reviews-feedback
362,"Please, review my new chapter!",72,174,Jan '19,reviews-feedback
363,"Not growing, can I have some feedback?",1.0k,310,Jan '19,reviews-feedback
364,"Hello, I am Adriano",1,220,Jan '19,reviews-feedback
365,Mind reviewing my comic,72,393,Jan '19,reviews-feedback
366,Praising Your Comics: Vol II!,0,1.4k,Jan '19,reviews-feedback
367,Review train! We keep the train going by reviewing each other’s stories. (Rules at top),66,1.7k,Dec '18,reviews-feedback
368,New font vs old font,0,261,Dec '18,reviews-feedback
369,I’ll review your comics (under 10 subs),50,1.1k,Dec '18,reviews-feedback
370,Review for review?,0,407,Dec '18,reviews-feedback
371,Looking for constructive criticism for my webcomic,62,346,Dec '18,reviews-feedback
372,Feedback please . Thank you very much. Anyone who wants feedback this is your thread now,2,354,Dec '18,reviews-feedback
373,Looking for reviews on my novel!,95,169,Nov '18,reviews-feedback
374,Full Grammar/Style Review for Views,2,172,Nov '18,reviews-feedback
375,Looking for reviews on my novel,84,316,Nov '18,reviews-feedback
376,Looking again for Feedback,0,308,Nov '18,reviews-feedback
