,titles,replies,views,activity,category
340,"Crossed 700 views, 25 episodes and 100 likes on my comic- Celebrating with follow for follow now!",76,48,Jun 15,promotions
341,Meet the Author. Tell me about yourself!,900,77,Jun 15,promotions
342,What to expect from Seen from Shadow?,14,43,Jun 15,promotions
343,New Fantasy Rebirth Novel,111,84,Jun 14,promotions
344,Tropes done well,375,110,Jun 14,promotions
345,What I’d like for my new novel,5.4k,54,Jun 14,promotions
346,Need A Little Help Getting to 25 Subs,22,124,Jun 14,promotions
347,"First of July, let’s see those Top Webcomics/Webfiction links!",208,103,Jun 13,promotions
348,I finally finished my novel on Tapas (and posted a Q&A),81,60,Jun 13,promotions
349,Follow me into the Darkness - searching for my first subscribers!,674,113,Jun 13,promotions
350,4th of July Promotional Collab,71,226,Jun 12,promotions
351,"NEW GAME! Share your novel, read and subscribe 🤗🤩",428,450,Jun 12,promotions
352,Recommend a comic/novel from Tapas you love,27,240,Jun 12,promotions
353,"Read for read, novel edition",156,158,Jun 12,promotions
354,Help me reach 400,0,70,Jun 12,promotions
355,Let’s ALL GET TO 100!,64,77,Jun 11,promotions
356,Share you’re new story and old one!,8,113,Jun 11,promotions
357,"✨Share your comic/novel. I’ll read, comment, and maybe subscribe. In return, check out my works too.✨",155,151,Jun 11,promotions
358,"Help me out with subs, stuck at 111!",134,66,Jun 11,promotions
359,😁Comment on my recent chapter and I will comment on yours tapas.io,1.2k,60,Jun 11,promotions
360,Let’s help each other grow! Follow 4 Follow!,9,103,Jun 11,promotions
361,Where is Seen from Shadow going to?,165,46,Jun 11,promotions
362,List of Promising Looking Sci-fi and/or Fantasy Comics! (Add your own recs!),53,372,Jun 10,promotions
363,Show me your webcomic,225,12.1k,Jun 10,promotions
364,Just started publishing a comic? Promote it here!,9,156,Jun 10,promotions
365,Show your art - do you paint digitally or traditionally?,123,3.6k,Jun 10,promotions
366,Read for read comics and I’ll give you my thoughts!,1,339,Jun 10,promotions
367,Any cool comic Kickstarters? (share your own of cool ones you like!),67,98,Jun 10,promotions
368,Just finished the First Arc of my story! I’m celebrating!,92,110,Jun 9,promotions
369,Promotion Thread for Comedy series,587,137,Jun 9,promotions
370,New Flower Field episode is on + I need cameos for my next episode <3,0,87,Jun 9,promotions
371,New chapter out! read my comic and promote your own!,48,242,Jun 9,promotions
372,Share your LGBTQ+ Comics!,10,827,Jun 9,promotions
373,"Share your manga/comic/novel. I will read, maybe sub, and comment. In return, read and comment to my completed short manga",118,246,Jun 8,promotions
374,List of Fantasy Novels of Tapas,123,196,Jun 8,promotions
375,"Subtext, Themes and Analysis - a conversation",729,189,Jun 8,promotions
376,Follow for Follow - LGBTQ+ Edition,16,129,Jun 7,promotions
377,Post any comic/novel here and I will give it a shot for ~5 pages (REACT EDITION),131,2.1k,Jun 7,promotions
378,"Check out my comic, let me check out yours!",26,182,Jun 7,promotions
379,Promote your new comic,159,189,Jun 6,promotions
380,"Getting to a hundred, subs till you get to a hundred",22,134,Jun 6,promotions
381,Questions and promos- joking edition!,219,57,Jun 5,promotions
382,Opinions on Sub4Sub and Promotions,34,172,Jun 5,promotions
383,New scifi series - testing the waters,208,82,Jun 4,promotions
384,Share your favorite page of your comic/novel. In return check out my webcomics. Comment for comment,68,49,Jun 4,promotions
385,Promoting my fantasy BL comic,634,57,Jun 4,promotions
386,Questions and promos -flaw edition!,4,85,Jun 4,promotions
387,Do you like comedy comics? You have a comedy series? Share it,93,3.7k,Jun 3,promotions
388,Help me test my new novel out?,24,47,Jun 3,promotions
389,Seen from shadow is in its second chapter!,168,42,Jun 3,promotions
390,Patreon Promotions!,9,257,Jun 3,promotions
391,Share an underrated series!,451,1.1k,Jun 3,promotions
392,A tale of two girls,6,60,Jun 3,promotions
393,I will like your comic/novel,82,180,Jun 3,promotions
394,Shameless Self Promo/ Promote yourself too!,136,345,Jun 2,promotions
395,"Share your book cover, favorite panel/scene, and favorite chapter of your comic/novel + a game",1.2k,41,Jun 2,promotions
396,Let’s help each other grow in subscribers! 50 subs needed!,1,87,Jun 2,promotions
397,Promote and character question,56,126,Jun 2,promotions
398,The Only Self-Promotion I Will Post On The Forums,19,142,Jun 2,promotions
399,Here’s my new novel!,434,83,Jun 2,promotions
400,Questions and promos - self reflection again edition!,34,76,Jun 2,promotions
401,Questions and promos- fight edition!,2.1k,157,Jun 1,promotions
402,🌷New episode 🌷 Comics/Novels under 50 subs🦋,94,731,Jun 1,promotions
403,"I will read, like and subscribe to your webtoon/novel",1.2k,1.3k,Jun 1,promotions
404,I created a new comic,24,58,Jun 1,promotions
405,Comic Development Log - Let’s Make Comic,169,46,Jun 1,promotions
406,I reached 100 Subs! So it’s party time! Post and I’ll sub to ya!,40,392,Jun 1,promotions
407,Under 25 subs promotion,228,74,Jun 1,promotions
408,Fantasy stories under 200!,491,276,Jun 1,promotions
409,Let’s help each other grow in subscribers! Follow 4 Follow!,7.2k,123,Jun 1,promotions
410,Sub for sub assumptions on my characters based on their aesthetic,15,141,Jun 1,promotions
411,Please help me reach 100 subscribers and feel free to share your works with me so I may check them out,103,307,Jun 1,promotions
412,Tell me about you’re story (with spoilers!),14,215,Jun 1,promotions
413,Promos and character questions- confidence edition!,470,94,May 31,promotions
414,Questions for Authors/Creators + Promotion,40,186,May 31,promotions
